"id","name","work_summary_type_id/id","hours","task_id/id","project_id/id","user_id/id","date","create_uid/id"
"__export__.project_task_work_529603","26./ Program 11 --> Missing functionality remaining hours added comments added and Done.  --> Program 9 --> Issue with Order State is resolved and created a Improved version of program in 2.py file which has slightly less code complexity in change_order_state() method and comments are added.  --> Program 12 --> comments are added, Issue with Order State and Delivery State is resolved and slightly reduced the code complexity of change_order_state() and change_delivery_order_state() method.","__export__.project_task_work_summary_type_30","3.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-15 06:35:33","__export__.res_users_604"
"__export__.project_task_work_529593","25./ Meeting with Project Manager --> reviewed the Program 9 ---> Issue with Order State is found and comments are not added to program by me..    --> Program 10 --> Reviewed and Done.  --> Program 11 --> Reviewed and found remaining hours functionality missing  --> Program 12 -->  reviewed and found issue with delivery order State and comments are not added by me..","__export__.project_task_work_summary_type_30","0.666666666667","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-15 06:21:31","__export__.res_users_604"
"__export__.project_task_work_529392","24./ Program 12 --> Initially Done and gives desired output. class Sales_Order created and it inherits SalesTransaction class It has prepare_delivery_order() method, manage_delivery_order() method, create_delivery_order() method, set_order_state_to_confirm() method inherit and called manage_delivery_order() from it, display_delivery_order() method, change_delivery_order_status() method, cancel_delivery_order() method, validate_delivery_order() method inherits set_order_to_done() method.","__export__.project_task_work_summary_type_30","3.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-13 10:59:57","__export__.res_users_604"
"__export__.project_task_work_529393","23./ Program 12 --> Analysed the requirements gathered the information and states the problem definition of program. Menu Driven Program 1. Validate Delivery 2. Cancel Order Delivery options in the menu added, new Dictionary called delivery_order needs to be created when order state is confirmed.","__export__.project_task_work_summary_type_27","2.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-13 10:54:00","__export__.res_users_604"
"__export__.project_task_work_529377","22./ Program 11 --> Initially Done and gives desired output. I have used filter() method, map() method, list() constructor and sum() method. Thus I have learned and understood that items in nested dictionaries can be accessed without using loops. I have learned and understood how items in dictionaries can be filtered to get different Results","__export__.project_task_work_summary_type_30","2.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-13 10:41:17","__export__.res_users_604"
"__export__.project_task_work_529368","21./ Program 10 --> Initially Done and gives desired output. I have used functools.reduce() method, filter() method and sum() method to solve this program. Thus I have understood that items nested list can be accessed without using loops.","__export__.project_task_work_summary_type_30","1.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-13 10:37:52","__export__.res_users_604"
"__export__.project_task_work_529364","20./ Program 9 --> Errors in order state and order_lines state are solved. Separate function created for Set to Draft, Set to Confirm, Set to Done and Set to Cancel. Thus improves code re-usability.","__export__.project_task_work_summary_type_30","2.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-13 10:33:30","__export__.res_users_604"
"__export__.project_task_work_529064","19./ Meeting with Project Manager --> program 6, 7, 8 evaluated ,  -->Program 9 --> Description and problem definition and input, output are given. Basic Structure of program and way of coding are explained","__export__.project_task_work_summary_type_30","0.616666666667","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-12 13:24:20","__export__.res_users_604"
"__export__.project_task_work_529061","18./ Program 9 --> Initially Done and gives desired output.   --->    product_details dictionary, product_stock dictionary, customer_details dictionary, customer_address dictionary, order_details_dictionary, manage_product() function, prepare_product() function, create_product() function, manage_customer() function, prepare_customer() function, create_customer() function, generate_order() function, prepare_order() function, prepare_order_lines() function, create_sales_order function, display_products() function, display_customers() function, display_sales_order() function, update_product() function, change_order_state() function, generate_invoice() function.    --> Issues and Errors Solved all Functionalities are implemented.","__export__.project_task_work_summary_type_30","4.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-12 13:21:28","__export__.res_users_604"
"__export__.project_task_work_529050","17./ Analysing The Requirements of Program 9 --> Menu Driven Program,   --> Program 9 Video watched, that described the functionality, input, output, code re-usability and readability.   --> Understood why i should create separate function for user_input or preparation, manager function to pass input data to appropriate method, and create function to create dictionary or assigning values to global variable or properties.   Thus enhancing code re-usability (function can be inherited in future), readability and reducing redundancy ","__export__.project_task_work_summary_type_27","5.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-12 13:11:53","__export__.res_users_604"
